RepoID,Cluster
RID963,2
RID964,0
RID965,2
RID966,0
RID967,0
RID968,0
RID969,0
RID970,2
RID971,0
RID972,2
RID973,1
RID974,3
RID975,2
RID976,0
RID977,0
RID978,0
RID979,0
RID980,1
RID981,0
RID982,2
RID983,0
RID984,0
RID985,2
RID986,0
RID987,2
RID988,0
RID989,2
RID990,2
RID991,0
RID992,2
RID993,2
RID994,2
RID995,2
RID996,0
RID997,2
RID998,2
RID999,2
RID1000,1
RID1001,2
RID1002,0
RID1003,1
RID1004,2
RID1005,2
RID1006,0
RID1007,2
RID1008,1
RID1009,0
RID1010,0
RID1011,0
RID1012,0
RID1013,2
RID1014,0
RID1015,0
RID1016,1
RID1017,1
RID1018,0
RID1019,0
RID1020,0
RID1021,0
RID1022,0
RID1023,1
RID1024,1
RID1025,2
RID1026,0
RID1027,1
RID1028,0
RID1029,1
RID1030,2
RID1031,0
RID1032,0
RID1033,2
RID1034,2
RID1035,2
RID1036,2
RID1037,0
RID1038,0
RID1039,0
RID1040,0
RID1041,2
RID1042,2
RID1043,0
RID1044,2
RID1045,0
RID1046,0
RID1047,0
RID1048,0
RID1049,0
RID1050,0
RID1051,2
RID1052,0
RID1053,0
RID1054,0
RID1055,1
RID1056,1
RID1057,0
RID1058,2
RID1059,0
RID1060,2
RID1061,1
RID1062,0
RID1063,0
RID1064,0
RID1065,1
RID1066,1
RID1067,2
RID1068,0
RID1069,2
RID1070,0
RID1071,2
RID1072,0
RID1073,0
RID1074,0
RID1075,0
RID1076,1
RID1077,0
RID1078,2
RID1079,0
RID1080,0
RID1081,2
RID1082,2
RID1083,0
RID1084,0
RID1085,2
RID1086,0
RID1087,0
RID1088,0
RID1089,2
RID1090,2
RID1091,0
RID1092,2
RID1093,2
RID1094,0
RID1095,0
RID1096,2
RID1097,0
RID1098,0
RID1099,2
RID1100,0
RID1101,0
RID1102,0
RID1103,0
RID1104,0
RID1105,0
RID1106,0
RID1107,2
RID1108,2
RID1109,0
RID1110,0
RID1111,0
RID1112,0
RID1113,0
RID1114,0
RID1115,0
RID1116,0
RID1117,0
RID1118,0
RID1119,0
RID1120,1
RID1121,2
RID1122,0
